time_s,25k_50k_84.88deg
2.26E-05,0.100174193
2.26E-05,0.097056433
2.26E-05,0.093928918
2.27E-05,0.090791731
2.27E-05,0.087644952
2.27E-05,0.084488664
2.27E-05,0.081322948
2.27E-05,0.078147886
2.28E-05,0.074963563
2.28E-05,0.071770061
2.28E-05,0.068567465
2.28E-05,0.065355858
2.28E-05,0.062135325
2.29E-05,0.058905953
2.29E-05,0.055667825
2.29E-05,0.052421028
2.29E-05,0.049165649
2.29E-05,0.045901775
2.30E-05,0.042629491
2.30E-05,0.039348887
2.30E-05,0.03606005
2.30E-05,0.032763068
2.30E-05,0.02945803
2.31E-05,0.026145026
2.31E-05,0.022824144
2.31E-05,0.019495475
2.31E-05,0.016159109
2.31E-05,0.012815136
2.32E-05,0.009463649
2.32E-05,0.006104737
2.32E-05,0.002738493
2.32E-05,-0.000634992
2.32E-05,-0.004015623
2.33E-05,-0.00740331
2.33E-05,-0.010797959
2.33E-05,-0.014199476
2.33E-05,-0.017607767
2.33E-05,-0.021022738
2.34E-05,-0.024444295
2.34E-05,-0.027872343
2.34E-05,-0.031306786
2.34E-05,-0.03474753
2.34E-05,-0.038194477
2.35E-05,-0.041647533
2.35E-05,-0.045106601
2.35E-05,-0.048571583
2.35E-05,-0.052042383
2.35E-05,-0.055518903
2.36E-05,-0.059001046
2.36E-05,-0.062488714
2.36E-05,-0.065981808
2.36E-05,-0.069480229
2.36E-05,-0.072983879
2.37E-05,-0.076492659
2.37E-05,-0.08000647
2.37E-05,-0.083525211
2.37E-05,-0.087048782
2.37E-05,-0.090577083
2.38E-05,-0.094110014
2.38E-05,-0.097647474
2.38E-05,-0.101189362
2.38E-05,-0.104735577
2.38E-05,-0.108286016
2.39E-05,-0.111840578
2.39E-05,-0.115399162
2.39E-05,-0.118961664
2.39E-05,-0.122527982
2.39E-05,-0.126098014
2.40E-05,-0.129671656
2.40E-05,-0.133248805
2.40E-05,-0.136829358
2.40E-05,-0.140413211
2.40E-05,-0.14400026
2.41E-05,-0.1475904
2.41E-05,-0.151183529
2.41E-05,-0.154779541
2.41E-05,-0.158378331
2.41E-05,-0.161979794
2.42E-05,-0.165583826
2.42E-05,-0.169190321
2.42E-05,-0.172799174
2.42E-05,-0.176410278
2.42E-05,-0.180023528
2.43E-05,-0.183638819
2.43E-05,-0.187256043
2.43E-05,-0.190875095
2.43E-05,-0.194495867
2.43E-05,-0.198118254
2.44E-05,-0.201742148
2.44E-05,-0.205367442
2.44E-05,-0.20899403
2.44E-05,-0.212621803
2.44E-05,-0.216250655
2.45E-05,-0.219880478
2.45E-05,-0.223511164
2.45E-05,-0.227142606
2.45E-05,-0.230774695
2.45E-05,-0.234407323
2.46E-05,-0.238040383
2.46E-05,-0.241673765
2.46E-05,-0.245307362
2.46E-05,-0.248941065
2.46E-05,-0.252574765
2.47E-05,-0.256208354
2.47E-05,-0.259841723
2.47E-05,-0.263474763
2.47E-05,-0.267107364
2.47E-05,-0.270739419
2.48E-05,-0.274370817
2.48E-05,-0.27800145
2.48E-05,-0.281631209
2.48E-05,-0.285259983
2.48E-05,-0.288887664
2.49E-05,-0.292514142
2.49E-05,-0.296139307
2.49E-05,-0.299763051
2.49E-05,-0.303385262
2.49E-05,-0.307005833
2.50E-05,-0.310624653
2.50E-05,-0.314241612
2.50E-05,-0.3178566
2.50E-05,-0.321469509
2.50E-05,-0.325080227
2.51E-05,-0.328688646
2.51E-05,-0.332294655
2.51E-05,-0.335898145
2.51E-05,-0.339499005
2.51E-05,-0.343097126
2.52E-05,-0.346692398
2.52E-05,-0.350284712
2.52E-05,-0.353873957
2.52E-05,-0.357460023
2.52E-05,-0.361042801
2.53E-05,-0.364622181
2.53E-05,-0.368198053
2.53E-05,-0.371770308
2.53E-05,-0.375338836
2.53E-05,-0.378903527
2.54E-05,-0.382464272
2.54E-05,-0.386020961
2.54E-05,-0.389573485
2.54E-05,-0.393121734
2.54E-05,-0.396665598
2.55E-05,-0.400204969
2.55E-05,-0.403739738
2.55E-05,-0.407269794
2.55E-05,-0.41079503
2.55E-05,-0.414315335
2.56E-05,-0.417830602
2.56E-05,-0.421340721
2.56E-05,-0.424845583
2.56E-05,-0.42834508
2.56E-05,-0.431839103
2.57E-05,-0.435327544
2.57E-05,-0.438810294
2.57E-05,-0.442287246
2.57E-05,-0.44575829
2.57E-05,-0.449223319
2.58E-05,-0.452682226
2.58E-05,-0.456134902
2.58E-05,-0.45958124
2.58E-05,-0.463021132
2.58E-05,-0.46645447
2.59E-05,-0.469881149
2.59E-05,-0.47330106
2.59E-05,-0.476714097
2.59E-05,-0.480120153
2.59E-05,-0.483519121
2.60E-05,-0.486910895
2.60E-05,-0.490295369
2.60E-05,-0.493672436
2.60E-05,-0.497041991
2.60E-05,-0.500403927
2.61E-05,-0.503758141
2.61E-05,-0.507104525
2.61E-05,-0.510442974
2.61E-05,-0.513773385
2.61E-05,-0.517095651
2.62E-05,-0.520409669
2.62E-05,-0.523715334
2.62E-05,-0.527012542
2.62E-05,-0.530301188
2.62E-05,-0.53358117
2.63E-05,-0.536852383
2.63E-05,-0.540114724
2.63E-05,-0.543368091
2.63E-05,-0.546612379
2.63E-05,-0.549847488
2.64E-05,-0.553073314
2.64E-05,-0.556289755
2.64E-05,-0.55949671
2.64E-05,-0.562694076
2.64E-05,-0.565881753
2.65E-05,-0.569059639
2.65E-05,-0.572227633
2.65E-05,-0.575385636
2.65E-05,-0.578533546
2.65E-05,-0.581671263
2.66E-05,-0.584798688
2.66E-05,-0.587915721
2.66E-05,-0.591022264
2.66E-05,-0.594118216
2.66E-05,-0.597203481
2.67E-05,-0.600277958
2.67E-05,-0.603341551
2.67E-05,-0.606394161
2.67E-05,-0.609435691
2.67E-05,-0.612466044
2.68E-05,-0.615485124
2.68E-05,-0.618492833
2.68E-05,-0.621489076
2.68E-05,-0.624473757
2.68E-05,-0.62744678
2.69E-05,-0.630408051
2.69E-05,-0.633357473
2.69E-05,-0.636294954
2.69E-05,-0.639220398
2.69E-05,-0.642133712
2.70E-05,-0.645034803
2.70E-05,-0.647923577
2.70E-05,-0.650799942
2.70E-05,-0.653663805
2.70E-05,-0.656515074
2.71E-05,-0.659353659
2.71E-05,-0.662179466
2.71E-05,-0.664992406
2.71E-05,-0.667792388
2.71E-05,-0.670579321
2.72E-05,-0.673353117
2.72E-05,-0.676113685
2.72E-05,-0.678860937
2.72E-05,-0.681594785
2.72E-05,-0.684315139
2.73E-05,-0.687021912
2.73E-05,-0.689715017
2.73E-05,-0.692394367
2.73E-05,-0.695059874
2.73E-05,-0.697711454
2.74E-05,-0.700349021
2.74E-05,-0.702972488
2.74E-05,-0.705581771
2.74E-05,-0.708176786
2.74E-05,-0.710757448
2.75E-05,-0.713323675
2.75E-05,-0.715875382
2.75E-05,-0.718412487
2.75E-05,-0.720934908
2.75E-05,-0.723442562
2.76E-05,-0.72593537
2.76E-05,-0.728413248
2.76E-05,-0.730876118
2.76E-05,-0.733323899
2.76E-05,-0.735756511
2.77E-05,-0.738173876
2.77E-05,-0.740575914
2.77E-05,-0.742962548
2.77E-05,-0.745333699
2.77E-05,-0.747689291
2.78E-05,-0.750029246
2.78E-05,-0.75235349
2.78E-05,-0.754661944
2.78E-05,-0.756954535
2.78E-05,-0.759231188
2.79E-05,-0.761491828
2.79E-05,-0.763736381
2.79E-05,-0.765964775
2.79E-05,-0.768176935
2.79E-05,-0.77037279
2.80E-05,-0.772552269
2.80E-05,-0.774715299
2.80E-05,-0.77686181
2.80E-05,-0.778991731
2.80E-05,-0.781104994
2.81E-05,-0.783201528
2.81E-05,-0.785281264
2.81E-05,-0.787344136
2.81E-05,-0.789390074
2.81E-05,-0.791419012
2.82E-05,-0.793430883
2.82E-05,-0.795425621
2.82E-05,-0.79740316
2.82E-05,-0.799363436
2.82E-05,-0.801306384
2.83E-05,-0.80323194
2.83E-05,-0.80514004
2.83E-05,-0.807030622
2.83E-05,-0.808903624
2.83E-05,-0.810758983
2.84E-05,-0.812596639
2.84E-05,-0.814416531
2.84E-05,-0.816218598
2.84E-05,-0.818002782
2.84E-05,-0.819769024
2.85E-05,-0.821517264
2.85E-05,-0.823247445
2.85E-05,-0.824959511
2.85E-05,-0.826653404
2.85E-05,-0.828329068
2.86E-05,-0.829986447
2.86E-05,-0.831625488
2.86E-05,-0.833246135
2.86E-05,-0.834848334
2.86E-05,-0.836432034
2.87E-05,-0.83799718
2.87E-05,-0.839543721
2.87E-05,-0.841071605
2.87E-05,-0.842580782
2.87E-05,-0.844071202
2.88E-05,-0.845542814
2.88E-05,-0.84699557
2.88E-05,-0.848429422
2.88E-05,-0.849844321
2.88E-05,-0.851240221
2.89E-05,-0.852617074
2.89E-05,-0.853974836
2.89E-05,-0.855313459
2.89E-05,-0.8566329
2.89E-05,-0.857933115
2.90E-05,-0.859214059
2.90E-05,-0.86047569
2.90E-05,-0.861717966
2.90E-05,-0.862940845
2.90E-05,-0.864144286
2.91E-05,-0.865328248
2.91E-05,-0.866492692
2.91E-05,-0.867637578
2.91E-05,-0.868762868
2.91E-05,-0.869868523
2.92E-05,-0.870954508
2.92E-05,-0.872020784
2.92E-05,-0.873067316
2.92E-05,-0.874094068
2.92E-05,-0.875101006
2.93E-05,-0.876088096
2.93E-05,-0.877055303
2.93E-05,-0.878002596
2.93E-05,-0.878929942
2.93E-05,-0.879837308
2.94E-05,-0.880724666
2.94E-05,-0.881591983
2.94E-05,-0.882439231
2.94E-05,-0.88326638
2.94E-05,-0.884073402
2.95E-05,-0.88486027
2.95E-05,-0.885626956
2.95E-05,-0.886373434
2.95E-05,-0.887099679
2.95E-05,-0.887805664
2.96E-05,-0.888491366
2.96E-05,-0.889156761
2.96E-05,-0.889801826
2.96E-05,-0.890426537
2.96E-05,-0.891030875
2.97E-05,-0.891614817
2.97E-05,-0.892178342
2.97E-05,-0.892721432
2.97E-05,-0.893244066
2.97E-05,-0.893746227
2.98E-05,-0.894227896
2.98E-05,-0.894689056
2.98E-05,-0.895129691
2.98E-05,-0.895549785
2.98E-05,-0.895949322
2.99E-05,-0.896328289
2.99E-05,-0.896686671
2.99E-05,-0.897024455
2.99E-05,-0.897341628
